                                                                                                                                                                                                                                                          ,,,,,
"Source: USCIS, data as of August 10, 2018. Notes:  All data are based on approved petitions during the fiscal year. Petitions approved in a fiscal year may be filed in previous fiscal years.  Per USCIS best practices, units of less than 10 beneficiaries are masked to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system. Average salary is based on data reported by the petitioner in the petition and may include part-time employment or may be reported inaccurately. Because USCIS data systems do not include hours worked, we are unable to identify salaries earned from part-time employment. Instead of the required degree, a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty. The letter H replaces the value in the total column where one could deduce the value of D. Employers without tax identification numbers in our system were excluded. ",,,,,
Employer Tax Number (Last 4 digits),Employer Name,Number of Approved Petitions,Average Salary,Beneficiary's Degree/Diploma,
 , , , ,Bachelor's,D
8920,INTEL CORP,127,"$103,217",Master's Degree,83
 , , , ,Bachelor's,24
 , , , ,Doctorate,20
6143,UNIV OF CALIFORNIA LOS ANGEL,127,"$62,376",Doctorate,93
 , , , ,Master's Degree,17
 , , , ,Professional Degree,H
 , , , ,Bachelor's,D
1392,ECLINICALWORKS LLC,125,"$65,331",Master's Degree,92
 , , , ,Bachelor's,33
3497,AMERICAN EXPRESS TRAVEL RELA,125,"$109,872",Bachelor's,63
 , , , ,Master's Degree,H
 , , , ,Doctorate,D
7105,COMPUNNEL SOFTWARE GROUP INC,125,"$62,550",Master's Degree,66
 , , , ,Bachelor's,59
5717,HOWARD HUGHES MEDICAL INSTIT,125,"$57,810",Doctorate,122
 , , , ,Bachelor's,D
 , , , ,Master's Degree,D
8462,RELIABLE SOFTWARE RESOURCES,125,"$59,860",Master's Degree,101
 , , , ,Bachelor's,24
3126,COMPUTER SCIENCES CORPORATIO,125,"$78,268",Bachelor's,78
 , , , ,Master's Degree,47
2778,YASH TECHNOLOGIES INC,123,"$55,291",Bachelor's,65
 , , , ,Master's Degree,58
3258,PERFICIENT INC,123,"$90,799",Master's Degree,63
 , , , ,Bachelor's,60
2614,THE BOSTON CONSULTING GROUP,122,"$134,542",Master's Degree,79
 , , , ,Bachelor's,32
 , , , ,Doctorate,D
 , , , ,Professional Degree,D
2319,AKAMAI TECHNOLOGIES INC,119,"$103,934",Master's Degree,83
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
6067,FIDELITY INVESTMENTS,119,"$83,161",Master's Degree,61
 , , , ,Bachelor's,58
7430,COMPUWARE,119,"$85,799",Master's Degree,63
 , , , ,Bachelor's,56
9719,EXPERIS US INC,118,"$75,196",Bachelor's,80
 , , , ,Master's Degree,H
 , , , ,High School,D
6083,EXPEDIA INC,118,"$106,091",Master's Degree,64
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
8233,MOTOROLA MOBILITY LLC,116,"$95,146",Master's Degree,63
 , , , ,Bachelor's,45
 , , , ,Doctorate,D
 , , , ,Professional Degree,D
6256,EMORY UNIV,116,"$61,055",Professional Degree,55
 , , , ,Doctorate,45
 , , , ,Master's Degree,H
 , , , ,Bachelor's,D
2045,TECHDEMOCRACY LLC,116,"$65,422",Master's Degree,65
 , , , ,Bachelor's,51
0555,UNIV OF COLORADO,116,"$67,334",Doctorate,77
 , , , ,Professional Degree,18
 , , , ,Master's Degree,H
 , , , ,Bachelor's,D
2344,CAREMARK LLC,116,"$92,887",Bachelor's,62
 , , , ,Master's Degree,52
 , , , ,Doctorate,D
 , , , ,No Diploma,D
3525,COLLABERA INC PREVIOUSLY KNO,115,"$64,231",Bachelor's,72
 , , , ,Master's Degree,43
0053,NESS USA INC,115,"$83,389",Bachelor's,67
 , , , ,Master's Degree,48
8857,ALCATEL LUCENT USA INC,114,"$105,753",Master's Degree,58
 , , , ,Bachelor's,51
 , , , ,Doctorate,D
 , , , ,Professional Degree,D
0312,SYSTIME COMPUTER CORPORATION,114,"$71,614",Bachelor's,81
 , , , ,Master's Degree,H
 , , , ,Some College,D
0010,JOHNSON CONTROLS INC,114,"$90,325",Bachelor's,58
 , , , ,Master's Degree,51
 , , , ,Doctorate,D
 , , , ,Some College,D
2394,UNIV OF SOUTHERN CALIFORNIA,114,"$72,863",Doctorate,70
 , , , ,Master's Degree,24
 , , , ,Professional Degree,H
 , , , ,Bachelor's,D
6041,SAP AMERICA INC,113,"$105,658",Bachelor's,69
 , , , ,Master's Degree,44
9487,AMDOCS INC,113,"$89,431",Bachelor's,75
 , , , ,Master's Degree,38
3878,BAYLOR COLLEGE OF MEDICINE,113,"$58,192",Doctorate,56
 , , , ,Professional Degree,28
 , , , ,Master's Degree,H
 , , , ,Bachelor's,D
9517,BROCADE COMMUNICATIONS SYSTE,113,"$115,312",Master's Degree,72
 , , , ,Bachelor's,36
 , , , ,Doctorate,D
 , , , ,High School,D
 , , , ,Some College,D
4017,KPIT INFOSYSTEMS INC,112,"$66,222",Bachelor's,66
 , , , ,Master's Degree,46
4621,EXILANT TECHNOLOGIES PRIVATE,112,"$85,130",Bachelor's,82
 , , , ,Master's Degree,30
6470,CITIBANK NA,111,"$119,150",Master's Degree,62
 , , , ,Bachelor's,43
 , , , ,Doctorate,D
 , , , ,Professional Degree,D
1588,RS SOFTWARE INDIA LTD,111,"$71,755",Bachelor's,91
 , , , ,Master's Degree,20
3424,MANHATTAN ASSOCIATES INC,111,"$92,023",Bachelor's,65
 , , , ,Master's Degree,H
 , , , ,Doctorate,D
7904,AUTOMATIC DATA PROCESSING IN,110,"$102,002",Bachelor's,58
 , , , ,Master's Degree,49
 , , , ,Doctorate,D
 , , , ,Professional Degree,D
3026,UHCP D/B/A UPMC MEP,110,"$53,931",Professional Degree,110
1235,BUSINESS INTELLI SOLUTIONS I,108,"$52,549",Master's Degree,68
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
2689,THE UNIV OF ARIZONA,108,"$83,813",Doctorate,53
 , , , ,Professional Degree,40
 , , , ,Master's Degree,H
 , , , ,Bachelor's,D
2542,SAP LABS LLC,107,"$104,283",Master's Degree,54
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
9950,EPIC SYSTEMS CORP,107,"$93,423",Master's Degree,53
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
6480,CFA INSTITUTE,107,"$35,799",Master's Degree,56
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
2309,NYU SCHOOL OF MEDICINE,106,"$58,127",Doctorate,59
 , , , ,Master's Degree,27
 , , , ,Professional Degree,H
 , , , ,Bachelor's,D
5986,THE OHIO STATE UNIV,106,"$57,926",Doctorate,68
 , , , ,Professional Degree,20
 , , , ,Master's Degree,11
 , , , ,Bachelor's,D
 , , , ,Missing Education,D
 , , , ,Associate Degree,D
7185,DIASPARK INC,105,"$64,999",Bachelor's,67
 , , , ,Master's Degree,38
2148,SEARS HOLDINGS MGMT CORP,105,"$107,548",Master's Degree,68
 , , , ,Bachelor's,35
 , , , ,Associate Degree,D
 , , , ,Doctorate,D
4069,BECHTEL OIL GAS AND CHEMICAL,105,"$100,064",Master's Degree,68
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
8440,ABBOTT LABORATORIES,105,"$116,094",Master's Degree,65
 , , , ,Bachelor's,24
 , , , ,Doctorate,H
 , , , ,Professional Degree,D
2868,THE UNIV OF TX SOUTHWESTERN,105,"$54,381",Doctorate,91
 , , , ,Master's Degree,H
 , , , ,Professional Degree,D
0114,MONTEFIORE MEDICAL CENTER,104,"$77,843",Professional Degree,88
 , , , ,Master's Degree,11
 , , , ,Doctorate,D
 , , , ,Bachelor's,D
3796,ASTIR IT SOLUTIONS INC,104,"$64,984",Master's Degree,58
 , , , ,Bachelor's,H
 , , , ,Missing Education,D
6144,UNIV OF CA SAN DIEGO,104,"$68,561",Doctorate,91
 , , , ,Master's Degree,D
 , , , ,Professional Degree,D
 , , , ,Bachelor's,D
8191,CITIGROUP GLOBAL MARKETS INC,103,"$109,870",Master's Degree,67
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
2300,ADVANCED MICRO DEVICES INC,103,"$106,887",Master's Degree,73
 , , , ,Doctorate,16
 , , , ,Bachelor's,14
2909,BRIGHAM AND WOMEN S HOSPITAL,102,"$62,151",Professional Degree,44
 , , , ,Doctorate,42
 , , , ,Master's Degree,H
 , , , ,Bachelor's,D
9231,QUALCOMM INNOVATION CENTER I,102,"$99,705",Master's Degree,55
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
4423,PROFICIENT BUSINESS SYSTEMS,102,"$64,098",Master's Degree,53
 , , , ,Bachelor's,49
6802,DELL USA LP,102,"$100,589",Master's Degree,67
 , , , ,Bachelor's,H
 , , , ,Some College,D
3600,T MOBILE USA INC,102,"$102,489",Master's Degree,62
 , , , ,Bachelor's,33
 , , , ,Doctorate,D
 , , , ,Some College,D
 , , , ,Associate Degree,D
2431,ORION SYSTEMS INTEGRATORS IN,101,"$86,750",Bachelor's,51
 , , , ,Master's Degree,50
1086,RUTGERS THE STATE UNIV OF NJ,100,"$67,165",Doctorate,90
 , , , ,Master's Degree,D
 , , , ,Professional Degree,D
 , , , ,Bachelor's,D
0531,TEXAS A&M UNIVERSITY,100,"$52,542",Doctorate,78
 , , , ,Master's Degree,16
 , , , ,Bachelor's,D
 , , , ,Professional Degree,D
6794,ALBERT EINSTEIN MEDICAL CENT,99,"$51,787",Professional Degree,96
 , , , ,Master's Degree,D
 , , , ,Doctorate,D
4224,IOWA STATE UNIV OF SCIENCE &,99,"$55,508",Doctorate,82
 , , , ,Master's Degree,13
 , , , ,Bachelor's,D
 , , , ,Professional Degree,D
9142,MAJESCOMASTEK,99,"$74,835",Bachelor's,70
 , , , ,Master's Degree,H
 , , , ,Doctorate,D
3580,HARVARD UNIV,98,"$61,879",Doctorate,85
 , , , ,Master's Degree,10
 , , , ,Bachelor's,D
 , , , ,Professional Degree,D
2098,CLIENT NETWORK SERVICES INC,98,"$66,735",Bachelor's,52
 , , , ,Master's Degree,46
2622,TEXAS TECH UNIV HLTH SCIENCE,98,"$77,270",Doctorate,50
 , , , ,Professional Degree,26
 , , , ,Master's Degree,H
 , , , ,Bachelor's,D
0203,THE UNIV OF TEXAS AT AUSTIN,97,"$60,474",Doctorate,82
 , , , ,Master's Degree,H
 , , , ,Bachelor's,D
1793,SANDISK CORP,97,"$108,265",Master's Degree,70
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
5934,QUALCOMM INCORPORATED,97,"$99,281",Master's Degree,56
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
4236,MEMORIAL SLOAN KETTERING CAN,96,"$64,930",Doctorate,36
 , , , ,Master's Degree,26
 , , , ,Professional Degree,24
 , , , ,Bachelor's,10
1218,UNIVERSITY OF KENTUCKY,96,"$72,703",Doctorate,61
 , , , ,Professional Degree,23
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
4655,TECHNIP USA INC,95,"$103,611",Master's Degree,59
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
7020,HENRY FORD HEALTH SYSTEM,94,"$78,990",Professional Degree,70
 , , , ,Bachelor's,10
 , , , ,Doctorate,H
 , , , ,Master's Degree,D
1399,THE UNIV OF HOUSTON,94,"$52,746",Doctorate,70
 , , , ,Master's Degree,H
 , , , ,Bachelor's,D
2643,V-SOFT CONSULTING GROUP INC,94,"$51,309",Master's Degree,64
 , , , ,Bachelor's,30
2883,VIRTUSA CORPORATION,93,"$94,418",Bachelor's,65
 , , , ,Master's Degree,H
 , , , ,Some College,D
7241,HSBC BANK USA N A,93,"$103,053",Bachelor's,49
 , , , ,Master's Degree,44
8884,ERP ANALYSTS INC,93,"$67,938",Master's Degree,67
 , , , ,Bachelor's,26
7139,THE UNIV OF CHICAGO,93,"$58,859",Doctorate,61
 , , , ,Master's Degree,24
 , , , ,Bachelor's,D
 , , , ,Professional Degree,D
4458,UNIV OF MIAMI MILLER SCH OF,93,"$70,660",Doctorate,48
 , , , ,Professional Degree,21
 , , , ,Master's Degree,H
 , , , ,Bachelor's,D
4041,SAMSUNG TELECOMMUNICATIONS A,93,"$88,926",Master's Degree,51
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
1560,AVCO CONSULTING INC,92,"$65,123",Master's Degree,75
 , , , ,Bachelor's,17
7939,SLK AMERICA INC,92,"$77,944",Bachelor's,79
 , , , ,Master's Degree,13
7419,GOLDMAN SACHS SERVICES LLC,91,"$104,488",Master's Degree,49
 , , , ,Bachelor's,42
5800,MOTOROLA SOLUTIONS INC,91,"$88,146",Master's Degree,64
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
8297,MONSANTO COMPANY,91,"$84,242",Master's Degree,40
 , , , ,Doctorate,33
 , , , ,Bachelor's,18
5732,ENVIRONMENTAL SYSTEMS RESEAR,91,"$77,665",Master's Degree,57
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
9449,CARNEGIE MELLON UNIV,90,"$69,992",Doctorate,59
 , , , ,Master's Degree,18
 , , , ,Professional Degree,D
 , , , ,Bachelor's,D
0854,INFOSYS BPO LIMITED,90,"$75,009",Bachelor's,77
 , , , ,Master's Degree,H
 , , , ,Professional Degree,D
4724,CALSOFT LABS INC,90,"$81,444",Bachelor's,60
 , , , ,Master's Degree,30
3978,WEILL CORNELL MEDICAL COLLEG,88,"$56,570",Doctorate,69
 , , , ,Master's Degree,D
 , , , ,Professional Degree,D
 , , , ,Bachelor's,D
9838,INTONE NETWORKS INC,88,"$63,090",Master's Degree,78
 , , , ,Bachelor's,10
3222,GENERAL MOTORS COMPANY,88,"$92,640",Master's Degree,41
 , , , ,Doctorate,25
 , , , ,Bachelor's,22
8477,UCHICAGO ARGONNE LLC,88,"$82,210",Doctorate,77
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
 , , , ,Professional Degree,D
2170,CAPITAL ONE SERVICES II LLC,88,"$94,658",Master's Degree,49
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
5984,MICHIGAN STATE UNIV,87,"$64,202",Doctorate,50
 , , , ,Master's Degree,23
 , , , ,Bachelor's,D
 , , , ,Professional Degree,D
6803,DELL PRODUCTS LP,87,"$106,296",Master's Degree,47
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
0018,INOVANT LLC,87,"$111,147",Bachelor's,44
 , , , ,Master's Degree,43
4191,BRONX LEBANON HOSPITAL CENTE,86,"$79,254",Professional Degree,82
 , , , ,Bachelor's,D
 , , , ,Master's Degree,D
2308,NEW YORK UNIV,86,"$66,298",Doctorate,59
 , , , ,Master's Degree,19
 , , , ,Bachelor's,D
 , , , ,Professional Degree,D
 , , , ,Some College,D
7737,HORIZON TECHNOLOGIES INC,86,"$63,138",Master's Degree,53
 , , , ,Bachelor's,33
0756,NORTH CAROLINA STATE UNIV,86,"$61,934",Doctorate,69
 , , , ,Professional Degree,10
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
5245,HARMONY PUBLIC SCHOOLS,86,"$47,170",Bachelor's,63
 , , , ,Master's Degree,23
4547,INTRAEDGE INC,86,"$62,884",Bachelor's,62
 , , , ,Master's Degree,24
4398,BARCLAYS SERVICES CORP,85,"$111,911",Master's Degree,52
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
1908,LOS ANGELES UNIFIED SCHOOL D,85,"$69,097",Bachelor's,43
 , , , ,Master's Degree,H
 , , , ,Doctorate,D
3594,MASSACHUSETTS INSTITUTE OF T,84,"$65,263",Doctorate,81
 , , , ,Master's Degree,D
 , , , ,Professional Degree,D
3680,IDEXCEL INC,84,"$79,607",Master's Degree,48
 , , , ,Bachelor's,36
1077,EVEREST CONSULTING GROUP INC,83,"$73,072",Bachelor's,47
 , , , ,Master's Degree,36
5142,DLI DEFENSE LANGUAGE INST US,83,"$65,418",Master's Degree,51
 , , , ,Doctorate,19
 , , , ,Bachelor's,D
 , , , ,Professional Degree,D
2737,HEWLETT PACKARD STATE & LOCA,83,"$90,524",Bachelor's,44
 , , , ,Master's Degree,39
3183,MEDTRONIC INC,83,"$94,732",Master's Degree,56
 , , , ,Bachelor's,17
 , , , ,Doctorate,10
6593,MCAFEE INC,83,"$105,242",Master's Degree,42
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
5987,SEAGATE US LLC,83,"$92,466",Master's Degree,49
 , , , ,Doctorate,22
 , , , ,Bachelor's,12
0210,CHEVRON CORPORATION,83,"$120,824",Master's Degree,44
 , , , ,Doctorate,23
 , , , ,Bachelor's,H
 , , , ,Professional Degree,D
3307,CALIFORNIA INSTITUTE OF TECH,83,"$67,275",Doctorate,77
 , , , ,Bachelor's,D
 , , , ,Master's Degree,D
0626,CVS PHARMACY INC,82,"$94,351",Master's Degree,45
 , , , ,Bachelor's,37
2041,PURDUE UNIV DEPT OF BIOLOGIC,82,"$58,374",Doctorate,H
 , , , ,Master's Degree,D
1233,UNIV OF NEBRASKA MED CTR,82,"$52,659",Doctorate,37
 , , , ,Professional Degree,33
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
 , , , ,Missing Education,D
1796,UNIV OF VIRGINIA,82,"$60,984",Doctorate,45
 , , , ,Professional Degree,28
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
6242,UNIV OF ARKANSAS FOR MED SCI,82,"$88,485",Professional Degree,59
 , , , ,Doctorate,13
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
1786,UNIV OF OREGON,82,"$54,544",Doctorate,58
 , , , ,Master's Degree,18
 , , , ,Bachelor's,D
 , , , ,Professional Degree,D
0776,AMGEN INC,82,"$100,516",Master's Degree,44
 , , , ,Bachelor's,18
 , , , ,Doctorate,18
 , , , ,High School,D
 , , , ,Professional Degree,D
1940,DIRECTV LLC,82,"$101,425",Master's Degree,50
 , , , ,Bachelor's,H
 , , , ,Professional Degree,D
2408,ARRIS SOLUTIONS INC,81,"$94,247",Master's Degree,60
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
5086,GRANDISON MANAGEMENT INC,81,"$47,337",Bachelor's,81
3295,GROUPON INC,81,"$118,556",Master's Degree,46
 , , , ,Bachelor's,33
 , , , ,Doctorate,D
 , , , ,Professional Degree,D
9427,BATTELLE MEMORIAL INSTITUTE,81,"$65,548",Doctorate,57
 , , , ,Master's Degree,H
 , , , ,Bachelor's,D
1932,HEALTH CAROUSEL II LLC,81,"$49,380",Master's Degree,H
 , , , ,Bachelor's,D
1805,VIRGINIA POLYTECHNIC INST &,81,"$57,897",Doctorate,69
 , , , ,Master's Degree,10
 , , , ,Bachelor's,D
 , , , ,Professional Degree,D
8509,APEX TECHNOLOGY SYSTEMS INC,80,"$68,400",Bachelor's,40
 , , , ,Master's Degree,40
4459,FLORIDA HOSPITAL,80,"$76,723",Bachelor's,53
 , , , ,Professional Degree,21
 , , , ,Master's Degree,D
 , , , ,Doctorate,D
6816,OAK RIDGE ASSOCIATED UNIVERS,80,"$56,071",Doctorate,H
 , , , ,Master's Degree,D
8017,FEDEX CORPORATE SERVICES INC,80,"$84,429",Master's Degree,54
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
1255,HOUSTON INDEPENDENT SCH DIST,80,"$49,011",Bachelor's,55
 , , , ,Master's Degree,22
 , , , ,Missing Education,D
 , , , ,Doctorate,D
 , , , ,Professional Degree,D
5172,AMERICAN AIRLINES INC,80,"$88,504",Master's Degree,53
 , , , ,Bachelor's,18
 , , , ,Doctorate,D
 , , , ,High School,D
 , , , ,Some College,D
0773,INFOGAIN CORP,80,"$84,582",Bachelor's,41
 , , , ,Master's Degree,39
2358,DELASOFT INC,79,"$67,590",Master's Degree,48
 , , , ,Bachelor's,31
3227,LEAD IT CORPORATION,79,"$67,975",Master's Degree,67
 , , , ,Bachelor's,12
6847,MIRACLE SOFTWARE SYSTEMS INC,79,"$76,325",Bachelor's,39
 , , , ,Master's Degree,H
 , , , ,Doctorate,D
5984,AGILITY TECHNOLOGIES LLC,78,"$59,614",Bachelor's,44
 , , , ,Master's Degree,34
5565,PEOPLE TECH GROUP,78,"$65,109",Bachelor's,48
 , , , ,Master's Degree,30
1391,CELCITE MANAGEMENT SOLUTIONS,78,"$85,324",Master's Degree,48
 , , , ,Bachelor's,30
6796,CMC AMERICAS INC,78,"$65,070",Bachelor's,H
 , , , ,Master's Degree,D
0525,UNIV OF UTAH,78,"$68,847",Doctorate,40
 , , , ,Master's Degree,18
 , , , ,Professional Degree,H
 , , , ,Bachelor's,D
5081,MAIMONIDES MEDICAL CENTER,77,"$72,644",Professional Degree,H
 , , , ,Master's Degree,D
6614,FIRST TEK INC,77,"$62,621",Master's Degree,53
 , , , ,Bachelor's,24
0848,LOUISIANA STATE UNIV,77,"$54,345",Doctorate,57
 , , , ,Master's Degree,16
 , , , ,Professional Degree,D
 , , , ,Bachelor's,D
4110,KLA TENCOR CORP,76,"$107,487",Master's Degree,31
 , , , ,Doctorate,25
 , , , ,Bachelor's,H
 , , , ,Professional Degree,D
6127,STAPLES INC,76,"$97,231",Master's Degree,38
 , , , ,Bachelor's,36
 , , , ,Associate Degree,D
 , , , ,Some College,D
8943,MULTIVISION INC,76,"$68,854",Master's Degree,41
 , , , ,Bachelor's,35
1761,NATSOFT CORPORATION,76,"$69,776",Master's Degree,52
 , , , ,Bachelor's,24
7729,TESLA MOTORS INC,76,"$102,090",Master's Degree,38
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
3547,TRUSTEES OF BOSTON UNIV,75,"$75,844",Doctorate,48
 , , , ,Professional Degree,21
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
3383,SYSTEMS TASK GROUP INTL LIMI,75,"$75,955",Bachelor's,54
 , , , ,Master's Degree,21
5578,AGREEYA SOLUTIONS INC,75,"$85,308",Bachelor's,50
 , , , ,Master's Degree,25
9925,THE UNIV OF KANSAS MEDICAL C,75,"$93,793",Professional Degree,25
 , , , ,Doctorate,23
 , , , ,Master's Degree,16
 , , , ,Bachelor's,11
3809,DOTCOM TEAM LLC,75,"$72,822",Master's Degree,38
 , , , ,Bachelor's,37
3881,BETH ISRAEL DEACONESS MED CT,74,"$59,556",Professional Degree,43
 , , , ,Doctorate,18
 , , , ,Master's Degree,H
 , , , ,Bachelor's,D
4085,ALTAIR PRODUCTDESIGN INC,74,"$63,078",Master's Degree,64
 , , , ,Bachelor's,D
 , , , ,Doctorate,D
0354,UNIV OF HAWAII,74,"$67,771",Doctorate,54
 , , , ,Master's Degree,H
 , , , ,Bachelor's,D
5971,TEMPLE UNIV,73,"$83,295",Doctorate,48
 , , , ,Professional Degree,14
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
5715,WELLPOINT INC,73,"$93,504",Master's Degree,37
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
6012,ST JUDE CHILDREN S RESEARCH,73,"$60,455",Doctorate,42
 , , , ,Master's Degree,20
 , , , ,Bachelor's,D
 , , , ,Professional Degree,D
5152,CITRIX SYSTEMS INC,73,"$103,962",Master's Degree,45
 , , , ,Bachelor's,28
3189,ETOUCH SYSTEMS CORP,73,"$91,901",Master's Degree,37
 , , , ,Bachelor's,36
7624,GENENTECH INC,73,"$114,659",Master's Degree,29
 , , , ,Doctorate,28
 , , , ,Bachelor's,H
 , , , ,Professional Degree,D
3498,ADS ALLIANCE DATA SYSTEMS IN,72,"$87,986",Master's Degree,38
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
2217,TERADATA OPERATIONS INC,72,"$91,256",Master's Degree,38
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
3936,CINCINNATI CHILDREN S HOSP M,72,"$86,629",Doctorate,35
 , , , ,Professional Degree,25
 , , , ,Master's Degree,H
 , , , ,Bachelor's,D
7125,WESTERN DIGITAL TECHNOLOGIES,72,"$95,718",Master's Degree,36
 , , , ,Doctorate,19
 , , , ,Bachelor's,17
6182,SAAMA TECHNOLOGIES INC,71,"$91,924",Bachelor's,40
 , , , ,Master's Degree,H
 , , , ,Some College,D
7553,BP AMERICA INC,71,"$126,876",Master's Degree,32
 , , , ,Doctorate,28
 , , , ,Bachelor's,H
 , , , ,Professional Degree,D
1653,ARICENT TECHNOLOGIES HOLDING,71,"$72,987",Bachelor's,46
 , , , ,Master's Degree,25
4501,THE TRUSTEES OF PRINCETON UN,70,"$70,852",Doctorate,63
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
8429,WAYNE STATE UNIV,70,"$63,765",Doctorate,44
 , , , ,Professional Degree,13
 , , , ,Master's Degree,H
 , , , ,Bachelor's,D
9123,UNIV OF NEBRASKA LINCOLN,70,"$56,787",Doctorate,50
 , , , ,Master's Degree,10
 , , , ,Bachelor's,D
 , , , ,Professional Degree,D
7172,TAVANT TECHNOLOGIES INC,70,"$75,849",Bachelor's,53
 , , , ,Master's Degree,H
 , , , ,Missing Education,D
7393,WELLS FARGO BANK N A,70,"$129,907",Master's Degree,41
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
1118,THE UNIV OF TX MD ANDERSON C,69,"$61,921",Doctorate,35
 , , , ,Professional Degree,20
 , , , ,Master's Degree,H
 , , , ,Bachelor's,D
8231,CADENCE DESIGN SYSTEMS INC,69,"$108,387",Master's Degree,38
 , , , ,Bachelor's,18
 , , , ,Doctorate,11
 , , , ,Associate Degree,D
 , , , ,Professional Degree,D
0605,AVNET INC,68,"$103,417",Bachelor's,40
 , , , ,Master's Degree,28
3915,BROOKHAVEN NATIONAL LABORATO,68,"$77,720",Doctorate,55
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
6774,KBR INC,68,"$95,696",Master's Degree,42
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
5147,ABBVIE INC,68,"$112,409",Master's Degree,31
 , , , ,Doctorate,H
 , , , ,Bachelor's,D
9296,RJT COMPUQUEST INC,68,"$66,500",Bachelor's,39
 , , , ,Master's Degree,29
3217,SRIVEN SYSTEMS INC,67,"$64,496",Master's Degree,47
 , , , ,Bachelor's,20
8361,RESEARCH FDN OF THE STATE UN,67,"$53,293",Doctorate,50
 , , , ,Professional Degree,D
 , , , ,Master's Degree,D
 , , , ,Bachelor's,D
8826,GENPACT LLC,67,"$80,331",Bachelor's,45
 , , , ,Master's Degree,22
9362,WILLIAM BEAUMONT HOSPITAL,67,"$74,173",Professional Degree,64
 , , , ,Bachelor's,D
 , , , ,Master's Degree,D
0640,CAPITAL ONE NATIONAL ASSOCIA,67,"$95,872",Master's Degree,55
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
1327,NATIONAL INSTRUMENTS CORPORA,67,"$72,880",Bachelor's,49
 , , , ,Master's Degree,H
 , , , ,Doctorate,D
6408,SCHWEITZER ENGINEERING LABOR,67,"$71,062",Master's Degree,51
 , , , ,Bachelor's,11
 , , , ,Doctorate,D
 , , , ,Some College,D
5526,APPLIED MATERIALS INC,67,"$101,066",Master's Degree,28
 , , , ,Doctorate,21
 , , , ,Bachelor's,18
4179,VALUEMOMENTUM INC,66,"$83,965",Bachelor's,44
 , , , ,Master's Degree,22
2488,SIEMENS INDUSTRY INC,66,"$88,602",Master's Degree,31
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
1647,CYBERTHINK INC,66,"$70,629",Master's Degree,40
 , , , ,Bachelor's,26
8315,PYRAMID TECH SOLUTIONS INC,66,"$64,257",Master's Degree,41
 , , , ,Bachelor's,25
4614,FIS MANAGEMENT SERVICES LLC,66,"$84,179",Master's Degree,37
 , , , ,Bachelor's,H
 , , , ,Professional Degree,D
7638,TEKSYSTEMS GLOBAL SERVICES L,66,"$105,425",Bachelor's,42
 , , , ,Master's Degree,24
3040,DANA FARBER CANCER INSTITUTE,65,"$56,107",Doctorate,42
 , , , ,Master's Degree,16
 , , , ,Bachelor's,D
 , , , ,Professional Degree,D
